,Ranking,CUI1,CUI2,Term1,Term2
0,1,C0023570,C0006982,Sinemet,Sinemet
1,2,C0060277,C0060277,Iron,Iron
2,3,C0025815,C0032950,Medrol,Prednisolone
3,4,C0286651,C0074554,Lipitor,Zocor
4,5,C0007546,C0007716,Cefazolin,Keflex
5,6,C0039730,C0019045,Thalassemia,Hemoglobinopathy
6,7,C0009951,C0014544,Convulsion,Epilepsy
7,8,C0013911,C0006625,Emaciation,Cachexia
8,9,C0012833,C0042571,Dizziness,Vertigo
9,10,C0026946,C0019655,Mycosis,Histoplasmosis
10,11,C0014025,C0065374,Enalapril,Lisinopril
11,12,C0004147,C0025859,Atenolol,Toprol-XR
12,13,C0246719,C0102118,Actonel,Fosamax
13,14,C0021359,C0003128,Infertility,Anovulation
14,15,C0079083,C0008838,Carboplatin,Cisplatin
15,16,C0002333,C0024002,Xanax,Ativan
16,17,C0001962,C0001975,Ethanol,Alcohol
17,18,C0017160,C0013369,Gastroenteritis,Dysentery
18,19,C0015620,C0034665,Pepcid,Zantac
19,20,C0126174,C0216784,Cozaar,Diovan
20,21,C0235250,C0027497,Hyperemesis,Nausea
21,22,C0242723,C0024530,Parasitemia,Malaria
22,23,C0002680,C0002645,Ampicillin,Amoxil
23,24,C0011847,C0020456,Diabetes,Hyperglycemia
24,25,C0162275,C0038187,Ketonuria,Starvation
25,26,C0025289,C0018681,Meningitis,Headache
26,27,C0003862,C0030193,Arthralgia,Pain
27,28,C0007561,C0007557,Ceftiaxone,Cefoxitin
28,29,C0006309,C0043528,Brucellosis,zoonosis
29,30,C0002403,C0874161,Amantadine,Tamiflu
30,31,C0021359,C0003128,Infertility,Anovulation
31,32,C0011603,C1998461,Dermatitis,Allergy.
32,33,C0036323,C0242723,Schistosomiasis,Parasitemia
33,34,C0920289,C0015672,Sluggishness,Fatigue
34,35,C0008402,C1142985,Cholestyramine,Zetia
35,36,C0070166,C0043031,Plavix,Coumadin
36,37,C0948786,C0030232,Blanching,Pallor
37,38,C0038187,C0003123,Starvation,Anorexia
38,39,C0286651,C0024027,Lipitor,Lovastatin
39,40,C0007537,C0007557,Cefaclor,Cefoxitin
40,41,C0019158,C1623038,Hepatitis,Cirrhosis
41,42,C0007297,C0027497,Carsickness,Nausea
42,43,C0019209,C0019214,Hepatomegaly,Hepatosplenomegaly
43,44,C1883552,C0030552,Weakness,Paresis
44,45,C0011847,C0021641,Diabetes,Insulin
45,46,C0007557,C0007561,Cefoxitin,Ceftiaxone
46,47,C0003864,C0035435,Arthritis,Rheumatism
47,48,C0006840,C0026946,Candidiasis,Mycosis
48,49,C0033860,C0003864,Psoriasis,Arthritis
49,50,C0028754,C0011847,Obesity,Diabetes
50,51,C0002144,C0009262,Allopurinol,Colchicine
51,52,C0074393,C0016365,Zoloft,Prozac
52,53,C0026946,C0009187,Mycosis,Coccidioses
53,54,C0043528,C0004576,zoonosis,Babesiosis
54,55,C0085602,C0032617,Polydipsia,Polyuria
